地区名,最寄駅距離（分）,取引価格,間取り,面積（㎡）,建築年,築年数,構造,都市計画,建ぺい率（％）,容積率（％）,取引年,改装
上矢部町,25,24000000,３ＬＤＫ,80,平成14年,18,ＳＲＣ,工業地域,60,200,2020,未改装
上矢部町,24,13000000,３ＬＤＫ,60,平成8年,24,ＲＣ,準工業地域,60,200,2020,未改装
上矢部町,28,27000000,３ＬＤＫ,70,平成26年,6,ＲＣ,工業地域,60,200,2020,未改装
上矢部町,25,25000000,４ＬＤＫ,100,平成14年,18,ＳＲＣ,工業地域,60,200,2020,未改装
上矢部町,25,20000000,３ＬＤＫ,65,平成8年,24,ＲＣ,準工業地域,60,200,2020,改装済
上矢部町,45,19000000,３ＬＤＫ,80,平成19年,13,ＲＣ,工業地域,60,200,2020,未改装
上矢部町,24,26000000,４ＬＤＫ,80,平成14年,18,ＳＲＣ,工業地域,60,200,2020,改装済
上矢部町,25,23000000,３ＬＤＫ,65,平成8年,24,ＲＣ,準工業地域,60,200,2020,改装済
上矢部町,29,14000000,２ＬＤＫ,45,昭和58年,37,ＲＣ,準工業地域,60,200,2020,改装済
上矢部町,24,20000000,４ＬＤＫ,85,昭和61年,34,ＲＣ,準工業地域,60,200,2020,改装済
上矢部町,23,22000000,３ＬＤＫ,65,平成11年,21,ＲＣ,第１種住居地域,60,200,2020,改装済
上矢部町,29,5300000,１ＬＤＫ,50,昭和58年,36,ＲＣ,準工業地域,60,200,2019,未改装
上矢部町,25,12000000,２ＬＤＫ,55,平成8年,23,ＲＣ,準工業地域,60,200,2019,未改装
上矢部町,20,19000000,２ＬＤＫ,60,昭和60年,34,ＲＣ,第１種住居地域,60,200,2019,未改装
上矢部町,28,13000000,３ＬＤＫ,80,平成7年,24,ＲＣ,第１種住居地域,60,200,2019,未改装
上矢部町,25,24000000,３ＬＤＫ,80,平成14年,17,ＳＲＣ,工業地域,60,200,2019,未改装
上矢部町,24,23000000,４ＬＤＫ,95,平成14年,17,ＳＲＣ,工業地域,60,200,2019,未改装
上矢部町,24,30000000,３ＬＤＫ,85,平成14年,17,ＳＲＣ,工業地域,60,200,2019,改装済
上矢部町,45,24000000,３ＬＤＫ,70,平成10年,21,ＲＣ,準工業地域,60,200,2019,改装済
上矢部町,29,22000000,３ＬＤＫ,75,平成14年,17,ＳＲＣ,工業地域,60,200,2019,未改装
上矢部町,25,28000000,４ＬＤＫ,95,平成14年,17,ＳＲＣ,工業地域,60,200,2019,改装済
上矢部町,45,20000000,２ＬＤＫ,60,平成19年,12,ＲＣ,工業地域,60,200,2019,改装済
上矢部町,45,26000000,２ＬＤＫ,85,平成19年,12,ＲＣ,工業地域,60,200,2019,未改装
汲沢町,29,9300000,３ＤＫ,50,昭和58年,37,ＲＣ,準住居地域,60,200,2020,未改装
汲沢町,45,15000000,２ＬＤＫ,60,平成2年,30,ＲＣ,市街化調整区域,50,80,2020,改装済
汲沢町,45,13000000,１ＬＤＫ,60,平成2年,30,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
汲沢町,24,23000000,３ＬＤＫ,65,昭和62年,33,ＲＣ,準住居地域,60,200,2020,未改装
汲沢町,45,5000000,２ＬＤＫ,60,平成2年,30,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
汲沢町,23,26000000,３ＬＤＫ,70,平成10年,21,ＲＣ,準住居地域,60,200,2019,未改装
汲沢町,45,15000000,３ＬＤＫ,70,平成10年,21,ＲＣ,準住居地域,60,200,2019,未改装
汲沢町,29,13000000,２ＬＤＫ,50,昭和49年,45,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,改装済
汲沢町,28,8700000,２ＤＫ,50,昭和49年,45,ＳＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
下倉田町,45,9900000,３ＤＫ,50,平成7年,25,ＳＲＣ,第１種住居地域,60,200,2020,改装済
下倉田町,24,26000000,３ＬＤＫ,70,平成17年,15,ＲＣ,準工業地域,60,200,2020,未改装
下倉田町,23,9000000,３ＬＤＫ,50,昭和60年,35,ＲＣ,準工業地域,60,200,2020,未改装
下倉田町,23,14000000,２ＬＤＫ,50,昭和60年,35,ＲＣ,準工業地域,60,200,2020,改装済
下倉田町,45,14000000,３ＬＤＫ,75,平成11年,21,ＲＣ,第１種低層住居専用地域,40,80,2020,未改装
下倉田町,45,15000000,２ＬＤＫ,55,昭和62年,33,ＳＲＣ,準住居地域,60,200,2020,改装済
下倉田町,26,20000000,３ＬＤＫ,80,平成7年,25,ＳＲＣ,準工業地域,60,200,2020,未改装
下倉田町,45,18000000,３ＬＤＫ,70,昭和62年,32,ＳＲＣ,準住居地域,60,200,2019,改装済
下倉田町,23,22000000,３ＬＤＫ,70,昭和58年,36,ＲＣ,準工業地域,60,200,2019,改装済
下倉田町,23,22000000,３ＬＤＫ,70,昭和58年,36,ＲＣ,準工業地域,60,200,2019,改装済
下倉田町,45,13000000,２ＬＤＫ,55,平成7年,24,ＳＲＣ,第１種住居地域,60,200,2019,改装済
下倉田町,45,9000000,３ＬＤＫ,55,平成6年,25,ＲＣ,準住居地域,60,200,2019,未改装
下倉田町,26,24000000,２ＬＤＫ,80,平成8年,23,ＳＲＣ,準工業地域,60,200,2019,未改装
下倉田町,23,14000000,３ＬＤＫ,70,昭和58年,36,ＲＣ,準工業地域,60,200,2019,未改装
戸塚町,11,21000000,２ＬＤＫ,65,昭和60年,36,ＲＣ,第１種住居地域,60,200,2021,未改装
戸塚町,23,8500000,３ＤＫ,50,平成6年,27,ＲＣ,第１種中高層住居専用地域,60,150,2021,未改装
戸塚町,21,28000000,２ＬＤＫ＋Ｓ,75,平成18年,15,ＲＣ,第２種中高層住居専用地域,60,150,2021,未改装
戸塚町,3,57000000,２ＬＤＫ,70,平成27年,6,ＲＣ,商業地域,80,600,2021,未改装
戸塚町,5,70000000,２ＬＤＫ,75,平成30年,3,ＲＣ,商業地域,80,600,2021,未改装
戸塚町,20,18000000,２ＬＤＫ,55,平成4年,29,ＲＣ,準住居地域,60,200,2021,改装済
戸塚町,16,29000000,３ＬＤＫ,80,昭和62年,33,ＲＣ,第１種住居地域,60,200,2020,改装済
戸塚町,15,32000000,３ＬＤＫ,80,昭和62年,33,ＲＣ,第１種住居地域,60,200,2020,改装済
戸塚町,11,32000000,２ＬＤＫ,60,平成6年,26,ＲＣ,第１種住居地域,60,200,2020,未改装
戸塚町,45,1500000,２ＬＤＫ,65,昭和45年,50,ＲＣ,準住居地域,60,200,2020,未改装
戸塚町,5,62000000,３ＬＤＫ,75,平成30年,2,ＲＣ,商業地域,80,600,2020,未改装
戸塚町,15,47000000,２ＬＤＫ＋Ｓ,70,平成27年,5,ＲＣ,工業地域,60,200,2020,未改装
戸塚町,16,40000000,４ＬＤＫ,90,平成18年,14,ＲＣ,第２種住居地域,60,200,2020,未改装
戸塚町,28,4000000,２ＬＤＫ,45,昭和58年,37,ＲＣ,第２種中高層住居専用地域,60,150,2020,未改装
戸塚町,13,37000000,３ＬＤＫ,70,平成15年,17,ＲＣ,工業地域,60,200,2020,未改装
戸塚町,5,68000000,３ＬＤＫ,80,平成30年,2,ＲＣ,商業地域,80,600,2020,未改装
戸塚町,13,44000000,３ＬＤＫ,75,平成15年,17,ＳＲＣ,工業地域,60,200,2020,未改装
戸塚町,45,21000000,３ＬＤＫ,70,昭和64年,31,ＲＣ,準住居地域,60,200,2020,改装済
戸塚町,21,24000000,３ＬＤＫ,70,平成18年,14,ＲＣ,第２種中高層住居専用地域,60,150,2020,未改装
戸塚町,8,51000000,３ＬＤＫ,70,平成26年,6,ＲＣ,第２種中高層住居専用地域,60,150,2020,未改装
戸塚町,10,44000000,３ＬＤＫ,70,平成14年,18,ＲＣ,準住居地域,60,200,2020,未改装
戸塚町,45,21000000,３ＬＤＫ,60,昭和64年,31,ＲＣ,第２種中高層住居専用地域,60,200,2020,改装済
戸塚町,45,4000000,３ＬＤＫ,70,昭和45年,50,ＲＣ,第２種住居地域,60,200,2020,未改装
戸塚町,15,43000000,４ＬＤＫ,85,平成18年,14,ＲＣ,工業地域,60,200,2020,未改装
戸塚町,21,28000000,３ＬＤＫ,75,平成18年,14,ＲＣ,第２種中高層住居専用地域,60,150,2020,未改装
戸塚町,45,14000000,３ＬＤＫ,60,昭和64年,31,ＲＣ,準住居地域,60,200,2020,改装済
戸塚町,16,40000000,３ＬＤＫ,80,平成18年,14,ＲＣ,第２種住居地域,60,200,2020,未改装
戸塚町,45,17000000,２ＬＤＫ,60,平成9年,22,ＲＣ,第２種住居地域,60,200,2019,未改装
戸塚町,45,8900000,３ＬＤＫ,65,昭和45年,49,ＲＣ,準住居地域,60,200,2019,改装済
戸塚町,45,3500000,１ＬＤＫ,45,昭和45年,49,ＲＣ,第２種住居地域,60,200,2019,未改装
戸塚町,20,32000000,３ＬＤＫ,80,平成9年,22,ＲＣ,第１種中高層住居専用地域,60,150,2019,改装済
戸塚町,9,22000000,２ＬＤＫ,55,平成4年,27,ＲＣ,第１種住居地域,60,200,2019,改装済
戸塚町,45,12000000,３ＬＤＫ,70,昭和64年,30,ＲＣ,準住居地域,60,200,2019,未改装
戸塚町,10,30000000,３ＬＤＫ,65,昭和59年,35,ＲＣ,第１種住居地域,60,200,2019,改装済
